Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,km,District Municipality,Analysis Date,Inspection Date,Asset Value (Depreciated),Asset Value (ACI),Replacement Cost,Maintenance Cost,Depreciation Cost,Unit Cost,Length of Bridge Deck  (m),Width of Bridge Deck  (m),Maximum Height Pier/Abutment (m),Maximum Span Length(m),Overall Length Culvert (m),Overall Width Culvert (m),Max Fill Height Culvert,Max Height of Retaining Wall (m),Area_Wall_RW,Total_Length_GA,Horizontal_Length_GA,Overall_Height_TU,Overall_Length_TU,Overall_Width_TU,FctHt,Fct_TypeBridge,DeprValue,Age
1019,Railway bridge,Bridge,Bridge,9/2/2013,P141/1,20.42,NK: Nkangala District Municipality,6/30/2022,2/9/2018,9448720,21344080,23726190,136660,14140810,30100,54.93,14.35,5.49,,,,,,,,,,,,,1,0.404,74
1023,P53/3 LEKWA LOCAL MUNICIPALITY,Bridge,Bridge,9/9/2017,,,GS: Gert Sibande District Municipality,6/30/2022,9/9/2017,17279647,31166137,32672330,36690,15355995,45140,154,4.7,12,,,,,,,,,,,,,1,0.53,47
1029,Railway Bridge,Bridge,Bridge,10/24/2019,,,NK: Nkangala District Municipality,6/30/2022,9/20/2019,876303,1870675,2105194,239450,989441,30100,5.38,13,0,,,,,,,,,,,,,1,0.53,47
1030,Railway bridge,Bridge,Bridge,9/2/2013,D691,3.3,NK: Nkangala District Municipality,6/30/2022,2/9/2018,520710,1823265,2546460,508060,1517690,30100,9,9.4,4.88,,,,,,,,,,,,,1,0.404,74
1064,CROCODILE ,Major Culvert,Culvert Major,10/4/2019,,,NK: Nkangala District Municipality,6/30/2022,10/4/2019,3906458,6600759,6674850,23360,2745032,24450,,,,,13,21,2,,,,,,,,,,0.589,47
1067,P51/2 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,,NK: Nkangala District Municipality,6/30/2022,11/5/2017,2202019,4327503,4401000,81000,2117981,24450,,,,,15,12,1,,,,,,,,,,0.519,55
1089,Riet river bridge,Bridge,Bridge,5/4/2014,P52/3,3.49,NK: Nkangala District Municipality,6/30/2022,5/4/2014,4534265,9134917,9216018,36880,4644873,30100,24.3,12.6,4.27,,,,,,,,,,,,,1,0.496,51
109,Revolver Creek,Bridge,Bridge,8/10/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,8/10/2019,1895473,3260816,3809365,123490,1790401,45140,8.7,9.7,9,,,,,,,,,,,,,1,0.53,47
1096,ELANDS RIVER BRIDGE D330,Bridge,Bridge,10/14/2017,,,NK: Nkangala District Municipality,6/30/2022,10/14/2017,4808520,11239259,11621610,26070,6787020,30100,39,9.9,7,,,,,,,,,,,,,1,0.416,71
1133,Waterval River Bridge,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/22/2019,6248598,10854975,12521600,387850,5885152,30100,32,13,0,,,,,,,,,,,,,1,0.53,47
1139,D197 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,,NK: Nkangala District Municipality,6/30/2022,11/5/2017,832641,1394941,1540350,74240,633469,24450,,,,,9,7,1,,,,,,,,,,0.589,47
1160,P52/3 GOVAN MBEKI LOCAL MUNICIPALITY,Bridge,Bridge,10/12/2017,,,GS: Gert Sibande District Municipality,6/30/2022,10/12/2017,2509229,4867965,5297600,76000,2712371,30100,16,11,3.4,,,,,,,,,,,,,1,0.488,53
1162,D25 THEMBESILE LOCAL MUNICIPALITY,Major Culvert,Culvert Major,11/6/2017,,,NK: Nkangala District Municipality,6/30/2022,11/6/2017,1909361,3315537,3520800,163510,1447929,24450,,,,,12,12,2.5,,,,,,,,,,0.589,47
117,D2550 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,,GS: Gert Sibande District Municipality,6/30/2022,11/4/2017,777384,1473691,1643460,93650,772426,30100,13,4.2,5,,,,,,,,,,,,,1,0.53,47
1172,1172,Bridge,Bridge,9/20/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/20/2017,6487556,11981087,12587820,58110,6042154,30100,20.5,20.4,2.5,,,,,,,,,,,,,1,0.52,48
1173,Onverwacht river bridge,Bridge,Bridge,9/3/2013,P52/3,12.99,NK: Nkangala District Municipality,6/30/2022,2/9/2018,3368458,6064096,7284200,244505,3671237,30100,20,12.1,3.96,,,,,,,,,,,,,1,0.496,51
1185A,MARIBOU STREET D83,Bridge,Bridge,12/29/2013,0,0,GS: Gert Sibande District Municipality,6/30/2022,7/20/2018,6170448,11657903,12717250,35570,6511232,30100,32.5,13,2.74,,,,,,,,,,,,,1,0.488,53
1185B,Molspruit Tributary,Bridge,Bridge,1/27/2017,,,GS: Gert Sibande District Municipality,6/30/2022,1/20/2017,2348117,6603350,7344400,1235950,3760333,30100,20,12.2,2.2,,,,,,,,,,,,,1,0.488,53
1193,D1433 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,,NK: Nkangala District Municipality,6/30/2022,11/5/2017,552302,1426217,1467000,16160,898538,24450,,,,,10,6,0,,,,,,,,,,0.388,70
1202,River Bridge,Bridge,Bridge,11/15/2012,D927,3,EH: Ehlanzeni District Municipality,6/30/2022,10/16/2017,385146,853967,903000,93444,424410,30100,7.5,4,2,,,,,,,,,,,,,1,0.53,47
1206,D2232 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,,GS: Gert Sibande District Municipality,6/30/2022,11/4/2017,998567,1854615,1980580,51140,930873,30100,14,4.7,4,,,,,,,,,,,,,1,0.53,47
1212,1212,Bridge,Bridge,10/3/2019,,,EH: Ehlanzeni District Municipality,6/30/2022,10/3/2019,2885888,4985752,5899600,240900,2772812,30100,20,9.8,7,,,,,,,,,,,,,1,0.53,47
1216,1216,Bridge,Bridge,9/18/2017,,,GS: Gert Sibande District Municipality,6/30/2022,8/18/2017,4772560,8852109,9030000,13340,4244100,30100,25,12,5,,,,,,,,,,,,,1,0.53,47
1217,Bridge over River,Bridge,Bridge,10/24/2019,,,GS: Gert Sibande District Municipality,6/30/2022,10/3/2019,1134475,2023172,2257500,62000,1061025,30100,15,5,0,,,,,,,,,,,,,1,0.53,47
1228,D685 EMAKHANZENI LOCAL MUNICIPALITY,Bridge,Bridge,10/16/2017,,,NK: Nkangala District Municipality,6/30/2022,10/16/2017,1784664,3292308,3404310,19620,1600026,30100,13,8.7,4.6,,,,,,,,,,,,,1,0.53,47
1237,D1747 GOVAN MBEKI MUNICIPALITY,Bridge,Bridge,10/12/2017,,,GS: Gert Sibande District Municipality,6/30/2022,10/12/2017,1141970,2825186,3010000,110190,1757840,30100,20,5,5.2,,,,,,,,,,,,,1,0.416,71
