Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Road No.,District Municipality,Magisterial District,Analysis Date,Inspection Item,Activity,Position,Qty Budget,Unit Cost,Unit,Cost,U,Adj. U,RMax2,B/C,WorkYear
1019,Railway bridge,Bridge,Bridge,9/2/2013,P141/1,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,09. Superstructure Drainage, 206. Clear channel,"S1,S4",24,150,m,3600,1,1,4,111,1
1019,Railway bridge,Bridge,Bridge,9/2/2013,P141/1,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,10. Kerbs / Sidewalks, 207. Clear debris,AS,8,750,m3,6000,4,4,4,67,1
1019,Railway bridge,Bridge,Bridge,9/2/2013,P141/1,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,11. Parapet, 118. Repair spall (including honeycombing),"S1,S2",120,750,L,90000,2,4,1,1,1
1019,Railway bridge,Bridge,Bridge,9/2/2013,P141/1,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,14. Piers & Columns, 108. Cut back reinforcement (tie rods) and make good,P3,6,230,No,1380,2,4,0,0,1
1019,Railway bridge,Bridge,Bridge,9/2/2013,P141/1,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,17. Expansion Joints, 315. Replace glands of claw joint,P2,13,2290,m,29770,4,4,1,3,1
1019,Railway bridge,Bridge,Bridge,9/2/2013,P141/1,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,18. Longitudinal Members, 120. Seal cracks,"S1,S4",2,750,m,1500,3,4,1,67,1
1019,Railway bridge,Bridge,Bridge,9/2/2013,P141/1,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,02. Guardrail, 467. Replace posts (steel or timber),U1,7,630,No,4410,3,4,1,23,1
1023,P53/3 LEKWA LOCAL MUNICIPALITY,Bridge,Bridge,9/9/2017,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,21. Miscellaneous Items, 620. Install structure number plate,BU,2,5380,No,10760,2,4,1,9,1
1023,P53/3 LEKWA LOCAL MUNICIPALITY,Bridge,Bridge,9/9/2017,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,01. Approach Embankment, 504. Repair settlement (asphalt fill),BU,2,9190,m3,18380,2,4,1,5,1
1023,P53/3 LEKWA LOCAL MUNICIPALITY,Bridge,Bridge,9/9/2017,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,02. Guardrail, 455. New guardrail (single and double),BU,4,950,m,3800,2,4,1,26,1
1023,P53/3 LEKWA LOCAL MUNICIPALITY,Bridge,Bridge,9/9/2017,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,11. Parapet, 459. Paint steel rails,AS,5,750,m2,3750,2,4,4,107,1
1029,Railway Bridge,Bridge,Bridge,10/24/2019,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,17. Expansion Joints, 306. New asphalt plug joint,BU,25,6180,m,154500,1,1,1,1,1
1029,Railway Bridge,Bridge,Bridge,10/24/2019,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,09. Superstructure Drainage, 206. Clear channel,S1,20,150,m,3000,1,1,4,133,1
1029,Railway Bridge,Bridge,Bridge,10/24/2019,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,07. Wing/ Retaining Walls, 120. Seal cracks,BU,4,750,m,3000,1,1,1,33,1
1029,Railway Bridge,Bridge,Bridge,10/24/2019,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,07. Wing/ Retaining Walls, 118. Repair spall (including honeycombing),BU,25,750,L,18750,3,4,1,5,1
