Structure Number,Structure Name,Asset Class,Structure Type,Inventory Date,Section No.,Road No.,km,District Municipality,Magisterial District,Analysis Date,ACI  (Average Condition Index),PCI (Priority Condition Index)
1019,Railway bridge,Bridge,Bridge,9/2/2013,,P141/1,20.42,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,89.96,83.6
1023,P53/3 LEKWA LOCAL MUNICIPALITY,Bridge,Bridge,9/9/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,95.39,92.07
1029,Railway Bridge,Bridge,Bridge,10/24/2019,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,88.86,90.79
1030,Railway bridge,Bridge,Bridge,9/2/2013,,D691,3.3,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,71.6,66.63
1064,CROCODILE ,Major Culvert,Culvert Major,10/4/2019,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,98.89,95.78
1067,P51/2 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,98.33,93.67
1089,Riet river bridge,Bridge,Bridge,5/4/2014,,P52/3,3.49,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,99.12,99.19
109,Revolver Creek,Bridge,Bridge,8/10/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,85.6,77.24
1096,ELANDS RIVER BRIDGE D330,Bridge,Bridge,10/14/2017,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,96.71,94.52
1133,Waterval River Bridge,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,86.69,78.79
1139,D197 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,90.56,80.08
1160,P52/3 GOVAN MBEKI LOCAL MUNICIPALITY,Bridge,Bridge,10/12/2017,,,,GS: Gert Sibande District Municipality,GS: Govan Mbeki Local Municipality,6/30/2022,91.89,79.53
1162,D25 THEMBESILE LOCAL MUNICIPALITY,Major Culvert,Culvert Major,11/6/2017,,,,NK: Nkangala District Municipality,NK: Thembisile Local Municipality,6/30/2022,94.17,91.21
117,D2550 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,89.67,67.88
1172,1172,Bridge,Bridge,9/20/2017,,,,GS: Gert Sibande District Municipality,GS: Lekwa Local Municipality,6/30/2022,95.18,93.22
1173,Onverwacht river bridge,Bridge,Bridge,9/3/2013,,P52/3,12.99,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,83.25,82.77
1185A,MARIBOU STREET D83,Bridge,Bridge,12/29/2013,,0,0,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,91.67,83.38
1185B,Molspruit Tributary,Bridge,Bridge,1/27/2017,,,,GS: Gert Sibande District Municipality,GS: Dipaleseng Local Municipality,6/30/2022,89.91,76.1
1193,D1433 STEVE TSHWETE,Major Culvert,Culvert Major,11/5/2017,,,,NK: Nkangala District Municipality,NK: Steve Tshwete Local Municipality,6/30/2022,97.22,97.36
1198,Klipfontein Railway Bridge,Bridge,Bridge,11/17/2016,,,,NK: Nkangala District Municipality,NK: Emalahleni Local Municipality,6/30/2022,82.2,84.99
1202,River Bridge,Bridge,Bridge,11/15/2012,,D927,3,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,94.57,96.61
1204,Selonsrivier,Bridge,Bridge,11/16/2016,,,,NK: Nkangala District Municipality,NK: Emakhazeni Local Municipality,6/30/2022,87.28,81.21
1206,D2232 MKONTO LOCAL MUNICIPALITY,Bridge,Bridge,11/4/2017,,,,GS: Gert Sibande District Municipality,GS: Mkhondo Local Municipality,6/30/2022,93.64,88.15
1212,1212,Bridge,Bridge,10/3/2019,,,,EH: Ehlanzeni District Municipality,EH: City of Mbombela Local Municipality,6/30/2022,84.51,58.62
1216,1216,Bridge,Bridge,9/18/2017,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,98.03,95.87
1217,Bridge over River,Bridge,Bridge,10/24/2019,,,,GS: Gert Sibande District Municipality,GS: Dr Pixley Ka Isaka Seme Local Municipality,6/30/2022,89.62,88.87
